Marca,Modelo,Año,TipoCombustible,Transmisión
Honda,Sedan,2010,Diesel,Manual
Kia,Convertible,2017,Diesel,Manual
Hyundai,Crossover,2023,Diesel,Automática
Nissan,Hatchback,2010,Diesel,Manual
Ford,Crossover,2024,Diesel,Manual
Kia,Pickup,2010,Diesel,Manual
Ford,Van,2022,Diesel,Automática
Chevrolet,SUV,2010,Diesel,Manual
Honda,Coupe,2013,Diesel,Automática
Honda,Convertible,2019,Diesel,Manual
Honda,Coupe,2014,Diesel,Manual
Subaru,Sedan,2023,Diesel,Automática
Subaru,Hatchback,2023,Diesel,Manual
Toyota,Hatchback,2022,Diesel,Automática
Renault,Van,2015,Diesel,Manual
BMW,Coupe,2016,Diesel,Manual
Chevrolet,Deportivo,2020,Diesel,Automática
Volkswagen,Pickup,2022,Diesel,Automática
Hyundai,Van,2024,Diesel,Automática
Toyota,Hatchback,2021,Diesel,Manual
BMW,Hatchback,2012,Diesel,Manual
Kia,SUV,2019,Diesel,Automática
Mercedes-Benz,Van,2023,Diesel,Manual
Audi,Crossover,2023,Diesel,Manual
Kia,Coupe,2013,Diesel,Manual
Peugeot,Crossover,2023,Diesel,Automática
Peugeot,Van,2022,Diesel,Automática
Volkswagen,Hatchback,2011,Diesel,Manual
Kia,Convertible,2014,Diesel,Automática
