Marca,Modelo,Año,TipoCombustible,Transmisión
Hyundai,SUV,2022,Eléctrico,Automática
Mazda,Crossover,2015,Eléctrico,Automática
Honda,Van,2013,Eléctrico,Automática
Mazda,Van,2010,Eléctrico,Manual
Ford,Coupe,2015,Eléctrico,Automática
Renault,Crossover,2013,Eléctrico,Manual
Subaru,Van,2016,Eléctrico,Automática
Mazda,Hatchback,2021,Eléctrico,Automática
Nissan,SUV,2023,Eléctrico,Automática
Hyundai,Convertible,2011,Eléctrico,Automática
Volkswagen,Sedan,2023,Eléctrico,Manual
Volkswagen,SUV,2024,Eléctrico,Manual
BMW,Sedan,2022,Eléctrico,Manual
Hyundai,Pickup,2023,Eléctrico,Manual
Mercedes-Benz,Hatchback,2018,Eléctrico,Automática
Chevrolet,Hatchback,2018,Eléctrico,Automática
Peugeot,Van,2012,Eléctrico,Automática
Mazda,Coupe,2018,Eléctrico,Automática
BMW,Sedan,2012,Eléctrico,Manual
Volkswagen,Coupe,2015,Eléctrico,Automática
BMW,Crossover,2016,Eléctrico,Automática
Peugeot,Pickup,2016,Eléctrico,Automática
Audi,Hatchback,2016,Eléctrico,Manual
Chevrolet,Crossover,2012,Eléctrico,Manual
Renault,Hatchback,2017,Eléctrico,Automática
Audi,Sedan,2023,Eléctrico,Automática
Kia,SUV,2022,Eléctrico,Automática
Nissan,Crossover,2023,Eléctrico,Automática
Kia,Convertible,2022,Eléctrico,Manual
Chevrolet,Crossover,2017,Eléctrico,Automática
Renault,Deportivo,2022,Eléctrico,Manual
Renault,Van,2012,Eléctrico,Manual
Ford,SUV,2022,Eléctrico,Automática
Renault,Sedan,2018,Eléctrico,Manual
Volkswagen,Crossover,2022,Eléctrico,Automática
Nissan,Convertible,2011,Eléctrico,Manual
Volkswagen,Van,2011,Eléctrico,Automática
