Marca,Modelo,Año,TipoCombustible,Transmisión
Mercedes-Benz,Deportivo,2012,Híbrido,Manual
BMW,Crossover,2010,Híbrido,Manual
Volkswagen,Convertible,2019,Híbrido,Manual
Nissan,Hatchback,2015,Híbrido,Manual
Kia,SUV,2017,Híbrido,Manual
Ford,Sedan,2018,Híbrido,Automática
Audi,Crossover,2019,Híbrido,Manual
Audi,Sedan,2016,Híbrido,Manual
Volkswagen,Sedan,2013,Híbrido,Manual
Audi,Hatchback,2016,Híbrido,Automática
Nissan,Convertible,2010,Híbrido,Manual
Subaru,Coupe,2015,Híbrido,Manual
Subaru,Hatchback,2013,Híbrido,Automática
Honda,Pickup,2016,Híbrido,Manual
Chevrolet,Crossover,2010,Híbrido,Automática
Honda,SUV,2011,Híbrido,Automática
Kia,Coupe,2023,Híbrido,Manual
Chevrolet,Hatchback,2012,Híbrido,Automática
Nissan,Deportivo,2018,Híbrido,Manual
Subaru,Coupe,2024,Híbrido,Automática
Subaru,Van,2022,Híbrido,Manual
Kia,Hatchback,2019,Híbrido,Manual
Mercedes-Benz,Convertible,2018,Híbrido,Manual
Honda,Convertible,2020,Híbrido,Manual
Renault,Convertible,2023,Híbrido,Manual
Toyota,SUV,2018,Híbrido,Manual
Ford,SUV,2012,Híbrido,Automática
Mazda,Sedan,2014,Híbrido,Manual
Mazda,SUV,2012,Híbrido,Manual
Mazda,SUV,2018,Híbrido,Manual
Peugeot,Deportivo,2020,Híbrido,Manual
Peugeot,Van,2015,Híbrido,Manual
Subaru,Convertible,2013,Híbrido,Automática
Renault,Coupe,2012,Híbrido,Automática
Mazda,Pickup,2018,Híbrido,Automática
Chevrolet,Sedan,2019,Híbrido,Automática
Mazda,Pickup,2022,Híbrido,Manual
Mazda,Coupe,2010,Híbrido,Manual
Chevrolet,Hatchback,2018,Híbrido,Automática
Hyundai,Van,2015,Híbrido,Automática
Renault,Convertible,2016,Híbrido,Automática
