Marca,Modelo,Año,TipoCombustible,Transmisión
Chevrolet,SUV,2015,Nafta,Automática
Kia,Van,2016,Nafta,Manual
Volkswagen,Crossover,2013,Nafta,Manual
Mercedes-Benz,SUV,2017,Nafta,Automática
Ford,Van,2015,Nafta,Manual
Hyundai,Coupe,2020,Nafta,Automática
Nissan,Pickup,2019,Nafta,Automática
Toyota,SUV,2024,Nafta,Manual
Nissan,Sedan,2014,Nafta,Automática
Mazda,Hatchback,2014,Nafta,Automática
Toyota,Hatchback,2020,Nafta,Automática
Volkswagen,Van,2012,Nafta,Manual
Subaru,SUV,2012,Nafta,Manual
Volkswagen,Pickup,2023,Nafta,Manual
Mazda,Sedan,2022,Nafta,Manual
Audi,Convertible,2014,Nafta,Automática
Hyundai,Crossover,2010,Nafta,Automática
Hyundai,Pickup,2012,Nafta,Automática
Chevrolet,Sedan,2023,Nafta,Manual
Audi,Sedan,2012,Nafta,Automática
Toyota,Pickup,2012,Nafta,Automática
Hyundai,Deportivo,2020,Nafta,Manual
Chevrolet,Deportivo,2024,Nafta,Automática
Toyota,Convertible,2020,Nafta,Manual
Honda,Sedan,2018,Nafta,Automática
Honda,Hatchback,2012,Nafta,Automática
Renault,Van,2010,Nafta,Manual
Chevrolet,Sedan,2015,Nafta,Automática
Honda,Coupe,2012,Nafta,Automática
Peugeot,Deportivo,2010,Nafta,Manual
Subaru,Pickup,2019,Nafta,Manual
Ford,Hatchback,2015,Nafta,Manual
BMW,Pickup,2023,Nafta,Manual
Ford,Van,2017,Nafta,Automática
Kia,Coupe,2023,Nafta,Automática
Nissan,Coupe,2016,Nafta,Manual
Volkswagen,Coupe,2020,Nafta,Automática
Ford,Hatchback,2018,Nafta,Automática
Audi,Crossover,2017,Nafta,Manual
BMW,Van,2012,Nafta,Manual
Chevrolet,Van,2019,Nafta,Automática
Hyundai,Van,2010,Nafta,Automática
Mazda,Pickup,2020,Nafta,Manual
