Marca,Modelo,Año,TipoCombustible,Transmisión
Volkswagen,Convertible,2019,Híbrido,Manual
Volkswagen,Crossover,2013,Nafta,Manual
Volkswagen,Sedan,2013,Híbrido,Manual
Volkswagen,Van,2012,Nafta,Manual
Volkswagen,Pickup,2023,Nafta,Manual
Volkswagen,Sedan,2023,Eléctrico,Manual
Volkswagen,SUV,2024,Eléctrico,Manual
Volkswagen,Pickup,2022,Diesel,Automática
Volkswagen,Coupe,2015,Eléctrico,Automática
Volkswagen,Hatchback,2011,Diesel,Manual
Volkswagen,Crossover,2022,Eléctrico,Automática
Volkswagen,Coupe,2020,Nafta,Automática
Volkswagen,Van,2011,Eléctrico,Automática
